Transaction,OTHERS,beverage,bread,breakfast,breakfast_pastry,condiments,dessert,kids,lunch,snacks,hour,day
64,0,0,0,0,0,0,1,0,0,0,13,6
65,1,2,0,0,0,0,1,0,0,1,13,6
66,1,1,0,1,0,0,0,0,0,0,13,6
67,2,1,0,0,1,0,0,0,0,0,13,6
68,0,2,1,1,0,0,0,0,1,0,13,6
69,0,1,1,0,0,0,1,0,0,0,13,6
70,0,0,0,0,0,0,1,0,0,0,13,6
71,0,0,0,0,1,0,0,0,0,0,13,6
72,0,1,1,0,0,0,0,0,0,0,14,6
73,0,0,1,0,0,0,0,0,0,0,14,6
74,0,1,1,0,0,0,0,0,0,0,14,6
75,1,0,0,1,0,1,0,0,0,0,14,6
76,0,1,0,0,0,0,0,0,0,0,14,6
77,0,0,1,0,0,0,0,0,0,0,14,6
78,0,0,0,0,0,0,1,0,0,0,14,6
79,0,2,0,0,1,0,1,0,0,0,14,6
80,0,1,1,1,0,0,0,0,0,0,14,6
81,0,1,0,0,0,0,1,0,0,0,8,0
82,1,0,1,0,0,0,1,0,0,0,8,0
83,0,1,1,0,0,0,0,0,0,0,8,0
84,0,0,1,0,0,0,0,0,0,0,9,0
85,0,2,0,0,2,0,0,0,0,0,9,0
86,0,1,0,0,0,0,0,0,0,0,9,0
87,0,0,1,0,0,0,0,0,0,0,9,0
88,0,2,0,0,0,1,0,0,0,0,9,0
89,0,0,1,0,0,0,0,0,0,0,9,0
90,0,1,1,0,0,0,0,0,0,0,9,0
91,1,1,0,0,0,0,0,0,0,0,9,0
92,0,1,0,0,0,0,0,0,0,0,9,0
93,0,1,1,0,0,0,0,0,0,0,9,0
94,0,2,0,0,0,0,0,0,0,0,9,0
95,1,1,0,0,1,0,0,0,0,0,9,0
96,0,2,0,0,2,0,0,0,0,0,9,0
97,0,2,0,0,1,0,0,0,0,0,9,0
98,1,0,0,0,0,0,0,0,0,0,9,0
99,0,1,1,0,2,0,0,0,0,0,9,0
100,0,0,1,0,0,0,0,0,0,0,9,0
101,0,1,0,0,1,0,0,0,0,0,10,0
102,1,0,0,0,0,0,0,0,0,0,10,0
103,1,0,1,0,0,0,0,0,0,0,10,0
104,0,3,0,0,2,0,0,0,0,0,10,0
105,1,2,0,0,0,0,1,0,0,0,10,0
106,0,2,0,0,2,0,0,0,0,0,10,0
107,0,2,0,0,0,0,0,0,0,0,10,0
108,1,0,0,0,1,0,0,0,0,0,10,0
109,0,0,1,0,2,0,0,0,0,0,10,0
110,0,0,0,0,1,0,0,0,0,0,10,0
111,0,1,0,0,0,0,0,0,0,0,10,0
112,0,1,0,0,0,0,0,0,0,0,10,0
113,0,1,0,0,0,0,1,0,0,0,11,0
114,1,0,0,0,0,0,0,0,0,0,11,0
115,0,0,1,0,0,0,0,0,0,0,11,0
116,0,1,0,0,0,0,0,0,0,0,11,0
117,0,1,0,0,0,0,2,1,0,0,11,0
118,0,1,0,0,1,0,2,0,0,0,11,0
119,0,2,0,0,1,0,0,0,0,0,11,0
120,1,0,0,0,0,0,0,0,0,0,11,0
121,0,1,1,0,0,0,0,0,0,0,11,0
122,0,0,0,0,0,0,1,0,0,0,11,0
123,1,3,0,0,0,1,0,0,0,0,11,0
124,0,1,0,0,0,0,0,0,1,0,11,0
125,0,1,0,0,0,0,0,0,0,0,11,0
126,0,1,0,0,0,1,0,0,0,0,11,0
127,1,0,0,0,0,0,0,0,0,0,11,0
128,1,2,0,0,0,0,1,0,0,0,11,0
129,0,2,0,0,0,0,1,0,0,0,11,0
130,0,2,0,0,1,0,0,0,0,0,12,0
131,0,1,1,0,0,0,0,0,0,0,12,0
132,0,2,0,0,0,0,1,0,0,1,12,0
133,1,0,0,0,0,0,0,0,1,0,12,0
134,2,1,0,0,0,0,0,0,0,0,12,0
135,0,0,1,0,0,0,0,0,0,0,12,0
136,0,1,0,0,0,0,0,0,1,0,12,0
137,1,0,0,0,0,0,0,0,0,0,12,0
138,1,1,0,0,0,0,0,0,1,0,12,0
139,1,0,1,0,1,0,0,0,0,0,12,0
140,0,2,0,0,0,0,1,0,0,0,12,0
141,0,0,1,0,0,0,0,0,0,0,12,0
142,0,1,0,0,1,0,0,0,0,0,12,0
143,0,1,0,0,0,0,0,0,0,0,12,0
144,1,0,0,0,0,0,0,0,1,0,13,0
145,0,2,1,0,0,0,0,0,0,0,13,0
146,0,0,0,0,0,0,0,0,1,0,13,0
147,0,1,0,0,0,0,1,0,0,0,13,0
148,0,2,0,0,0,0,1,0,0,0,13,0
149,0,1,0,0,0,0,0,0,0,0,13,0
150,0,0,1,0,0,0,0,0,0,0,13,0
151,0,1,0,0,0,0,0,0,1,0,13,0
152,0,0,0,0,1,0,0,0,0,0,13,0
153,0,2,0,0,1,0,1,0,0,0,13,0
154,1,2,0,0,0,0,0,0,0,1,14,0
155,0,1,0,0,1,0,0,0,1,0,14,0
156,0,1,0,0,1,0,0,0,0,0,14,0
157,0,1,1,0,0,0,0,0,0,0,14,0
158,0,1,0,0,1,0,0,0,0,0,14,0
159,0,1,1,0,0,0,1,0,0,0,14,0
160,0,1,0,0,1,0,0,0,0,0,14,0
161,0,1,0,0,0,0,0,0,0,0,14,0
162,0,0,0,0,1,0,0,0,0,0,14,0
163,0,2,0,0,0,0,0,0,0,0,14,0
164,0,1,0,0,1,0,0,0,0,0,14,0
165,0,1,0,0,0,0,0,0,0,0,14,0
166,0,1,0,0,1,0,0,0,0,0,14,0
167,1,1,1,0,0,0,0,0,1,0,14,0
168,0,2,0,0,0,0,0,0,0,0,14,0
169,0,1,0,0,0,0,0,0,0,0,15,0
170,0,1,0,0,0,0,0,0,0,0,15,0
171,0,1,0,0,0,0,0,0,1,0,15,0
172,0,1,1,0,0,0,0,0,0,0,17,0
173,0,0,1,0,1,0,0,0,0,0,17,0
174,0,1,0,0,0,0,0,0,0,0,17,0
175,0,0,1,0,0,0,0,0,0,0,17,0
176,0,1,0,0,0,0,1,0,0,0,18,0
178,0,1,0,0,1,0,0,0,0,0,7,1
179,0,1,0,0,1,0,0,0,0,0,8,1
180,0,1,0,0,0,1,0,0,0,0,8,1
181,0,2,0,0,0,0,0,0,0,0,8,1
182,0,0,0,0,2,0,0,1,0,0,9,1
183,0,0,0,0,1,0,0,0,0,0,9,1
184,2,1,0,0,0,0,0,0,0,0,9,1
185,0,1,0,0,0,0,1,0,0,0,9,1
186,0,1,0,0,1,0,0,0,0,0,9,1
187,0,0,1,0,0,0,0,0,0,0,10,1
188,0,1,0,0,0,0,0,0,0,0,10,1
189,0,1,1,0,0,0,0,0,0,0,10,1
190,0,1,0,0,2,0,0,0,0,0,10,1
191,0,1,0,0,0,0,0,0,1,0,10,1
192,1,0,1,0,0,0,0,0,0,0,10,1
193,0,1,0,0,0,0,0,0,0,0,11,1
194,0,0,2,0,0,0,0,0,0,0,11,1
195,1,0,2,0,0,0,0,0,0,0,11,1
196,0,0,1,0,0,0,2,0,0,0,11,1
197,0,3,0,0,0,0,0,0,0,0,11,1
198,0,1,0,0,0,0,1,0,0,0,11,1
199,0,1,0,0,0,0,0,0,0,0,11,1
200,0,0,1,0,0,0,0,0,0,0,11,1
201,1,1,0,0,1,0,0,0,0,0,11,1
202,0,2,0,0,0,0,0,0,0,0,11,1
203,0,1,0,0,0,0,0,0,0,0,11,1
204,0,0,2,0,0,0,0,0,0,0,11,1
205,0,2,0,0,1,0,0,0,0,0,11,1
206,0,1,1,0,1,0,0,0,0,0,11,1
207,1,1,0,0,1,0,0,0,0,0,12,1
208,0,0,1,0,0,0,0,0,0,0,12,1
209,0,1,0,0,0,0,0,0,0,0,12,1
210,0,0,1,0,0,0,0,0,0,0,12,1
211,0,1,0,0,0,0,0,0,1,0,12,1
212,0,1,0,0,0,0,2,0,0,0,12,1
213,0,0,1,0,0,0,0,0,0,0,12,1
214,0,2,1,0,0,0,0,0,0,0,12,1
215,0,1,0,0,1,0,0,0,0,0,12,1
216,0,1,0,0,0,0,1,0,0,0,12,1
217,0,0,1,0,0,0,1,0,0,0,12,1
218,0,0,0,0,0,0,0,0,1,0,12,1
219,0,0,0,0,0,0,1,0,0,0,12,1
220,0,0,1,0,1,0,0,0,0,0,12,1
221,0,0,2,0,0,0,0,0,0,0,12,1
222,0,0,1,0,0,0,0,0,0,0,13,1
223,0,1,0,0,0,0,1,0,0,0,13,1
224,0,1,0,0,0,0,0,0,0,0,13,1
225,0,2,0,0,0,0,0,0,1,0,13,1
226,0,0,0,0,0,0,1,0,0,0,13,1
227,0,1,0,0,0,0,0,0,2,0,13,1
228,0,1,0,0,0,0,0,0,0,0,13,1
229,1,0,1,0,0,0,0,0,0,0,13,1
230,0,0,0,0,0,0,1,0,0,0,13,1
231,0,0,0,0,0,0,1,0,0,0,13,1
232,0,2,1,0,0,0,0,0,0,0,14,1
233,0,2,1,0,0,0,0,0,1,0,14,1
234,0,2,0,0,0,0,0,0,0,0,14,1
235,0,0,1,0,0,0,0,0,0,0,14,1
236,0,0,0,0,0,0,1,0,0,0,14,1
237,0,1,0,0,0,0,0,0,1,0,14,1
238,0,1,1,0,1,0,1,0,0,0,14,1
239,0,0,0,0,1,0,0,0,0,0,14,1
240,0,0,1,0,0,0,0,0,0,0,14,1
241,0,1,0,0,0,1,0,0,0,0,14,1
242,0,2,0,0,0,0,1,0,0,0,15,1
243,0,1,0,0,1,0,1,0,1,0,15,1
244,0,2,0,0,0,0,1,0,0,0,15,1
245,0,0,0,0,0,0,2,0,0,0,15,1
246,0,1,1,0,0,0,0,0,0,0,15,1
247,0,4,0,0,0,0,1,0,0,0,16,1
248,0,2,0,0,0,0,0,0,1,0,16,1
249,0,1,0,0,0,0,0,0,0,0,16,1
250,0,0,0,0,0,0,1,0,0,0,16,1
251,0,1,0,0,1,0,0,0,0,0,16,1
252,0,0,1,1,0,0,0,0,0,0,16,1
253,0,0,1,0,0,0,0,0,0,0,17,1
254,0,0,0,0,1,0,0,0,0,0,18,1
255,0,2,0,0,1,0,0,0,0,0,8,2
256,0,1,1,0,0,0,0,0,0,0,8,2
257,1,1,1,0,1,0,0,0,0,0,8,2
258,0,1,0,0,1,0,0,0,0,0,8,2
259,0,0,0,0,1,0,0,0,0,0,8,2
260,0,1,0,0,0,0,0,0,0,0,8,2
261,0,1,0,0,0,0,0,0,0,0,8,2
262,0,2,0,0,1,0,0,0,0,0,8,2
263,0,1,0,0,0,0,0,0,0,0,8,2
264,0,1,0,0,0,1,0,0,0,0,9,2
265,0,1,0,0,0,0,0,0,0,0,9,2
266,1,0,1,0,1,0,0,0,0,0,9,2
267,1,1,0,0,0,0,1,0,0,0,9,2
268,0,1,0,0,1,0,0,0,0,0,9,2
269,0,0,1,0,0,0,0,0,0,0,9,2
270,0,1,0,0,0,1,0,0,0,0,9,2
271,0,3,0,0,1,0,0,0,0,0,9,2
272,1,0,0,0,0,0,0,0,0,0,9,2
274,1,1,1,0,1,0,0,0,0,0,9,2
275,1,0,0,0,0,0,0,0,0,0,9,2
276,0,2,0,0,1,0,0,0,0,0,9,2
277,1,0,0,0,0,0,0,0,0,0,10,2
278,0,1,0,0,1,0,0,0,0,0,10,2
279,1,1,0,0,0,0,0,0,0,0,10,2
280,0,1,0,0,1,0,0,0,0,0,10,2
281,0,0,2,0,0,0,0,0,0,0,10,2
282,0,1,1,0,1,0,0,0,0,0,10,2
283,0,1,0,0,1,0,0,0,0,0,10,2
284,1,1,0,0,0,0,0,0,0,0,10,2
285,2,0,0,0,1,0,0,0,0,0,10,2
286,0,1,1,0,0,0,1,0,0,0,10,2
287,0,1,0,0,1,0,0,0,0,0,10,2
288,0,0,1,0,0,0,1,0,0,0,10,2
289,0,0,1,0,0,0,0,0,0,0,11,2
290,0,1,0,0,0,0,1,0,0,0,11,2
291,0,1,0,0,0,0,0,0,0,0,11,2
292,0,0,0,0,0,0,1,0,0,0,11,2
293,1,0,0,0,0,0,0,0,0,0,11,2
294,0,1,0,0,0,0,0,0,0,0,11,2
295,0,0,1,0,0,1,1,0,0,0,11,2
296,1,0,1,0,0,0,0,0,0,0,11,2
297,1,1,1,0,1,0,0,0,0,0,12,2
298,1,2,0,0,0,0,1,0,0,1,12,2
299,0,0,1,0,0,0,0,0,0,0,12,2
300,1,2,1,0,0,0,1,0,0,0,12,2
301,0,2,0,0,0,0,0,0,1,0,12,2
302,0,1,0,0,0,0,0,0,1,0,12,2
303,0,2,0,0,0,0,1,0,1,0,12,2
304,1,1,0,0,0,0,0,0,0,0,12,2
305,0,0,0,0,0,0,1,0,0,0,12,2
306,0,3,0,0,0,0,0,0,1,0,12,2
307,1,0,0,0,0,0,0,0,0,0,12,2
308,1,1,0,0,0,0,0,0,0,0,12,2
309,1,1,0,0,0,0,0,0,0,0,12,2
310,0,1,0,0,0,0,0,0,2,0,13,2
311,1,0,0,0,0,0,1,0,0,0,13,2
312,0,2,0,0,0,0,0,0,1,0,13,2
313,0,0,0,0,0,0,0,0,1,0,13,2
314,0,1,0,0,0,0,0,0,0,0,13,2
316,0,0,1,0,0,0,0,0,0,0,13,2
317,0,1,0,0,0,0,1,0,0,0,13,2
318,1,0,1,0,0,0,0,0,1,0,13,2
319,0,1,0,0,0,0,0,0,0,0,13,2
320,0,1,0,0,0,0,0,0,0,0,13,2
321,0,2,0,0,0,0,0,0,0,0,14,2
322,0,0,1,0,0,0,0,0,0,0,14,2
323,0,1,0,0,0,0,0,0,0,0,14,2
324,0,2,0,0,0,0,0,0,0,0,14,2
325,0,1,0,0,0,0,0,0,0,0,14,2
326,0,0,0,0,0,0,1,0,0,0,14,2
327,0,1,0,0,0,0,0,0,0,0,15,2
328,0,1,0,0,0,0,0,0,1,0,15,2
329,0,1,0,0,0,0,0,0,0,0,15,2
330,0,0,0,0,0,0,1,0,0,0,15,2
331,0,0,1,0,0,0,0,0,0,0,15,2
332,0,1,0,0,0,0,1,0,0,0,16,2
333,0,2,0,0,0,0,2,0,0,1,16,2
334,0,1,0,0,0,0,1,0,0,0,17,2
335,0,0,0,0,0,0,1,0,0,0,17,2
336,0,1,0,0,0,0,0,0,0,1,18,2
337,0,2,0,0,0,0,1,0,0,0,18,2
338,0,1,0,0,0,0,0,0,0,1,18,2
339,0,0,0,0,0,0,1,0,0,0,18,2
340,0,1,1,0,0,0,0,0,0,0,7,3
341,0,0,0,0,2,0,0,0,0,0,7,3
342,0,0,1,0,1,0,0,0,0,0,8,3
343,1,0,0,0,0,0,0,0,0,0,8,3
344,0,1,0,0,1,0,0,0,0,0,8,3
345,1,0,0,0,0,0,0,0,0,0,8,3
346,1,3,0,0,2,0,0,0,0,0,8,3
347,0,0,0,0,1,0,0,0,0,0,8,3
348,1,1,1,0,0,0,0,0,1,0,8,3
349,0,0,1,0,0,0,0,0,0,0,8,3
350,1,1,0,0,0,1,0,0,0,0,9,3
351,0,0,1,0,0,0,0,0,0,0,9,3
352,0,0,1,0,0,0,0,0,0,0,9,3
353,0,0,1,0,1,0,1,1,0,0,9,3
354,1,0,0,0,1,0,0,0,0,0,9,3
355,0,0,1,0,1,0,0,0,0,0,9,3
356,0,0,1,0,1,0,0,0,0,0,9,3
357,0,1,0,0,0,1,0,0,0,0,9,3
358,1,0,0,0,0,0,0,0,0,0,9,3
359,0,0,1,0,1,0,0,0,0,0,9,3
360,0,2,1,0,0,0,0,0,0,0,9,3
361,0,0,0,0,0,1,0,0,0,0,9,3
363,0,0,0,0,3,0,0,0,0,0,9,3
364,0,1,0,0,0,0,0,0,0,0,9,3
365,0,1,0,0,0,0,0,0,0,0,10,3
366,0,0,1,0,0,0,0,0,0,0,10,3
367,0,0,1,0,1,0,0,0,0,0,10,3
368,0,0,0,0,1,0,0,0,0,0,10,3
369,1,0,0,0,0,0,0,0,0,0,10,3
370,0,1,0,0,0,0,0,0,0,0,10,3
371,0,1,0,0,0,0,3,0,0,0,10,3
372,0,0,1,0,0,0,2,0,0,0,10,3
373,0,1,0,0,0,0,0,0,0,0,11,3
374,0,0,1,0,0,0,0,0,0,0,11,3
375,0,2,0,0,1,1,0,0,0,0,11,3
376,0,1,0,0,0,0,0,0,1,0,11,3
377,1,1,0,0,1,0,0,0,1,0,11,3
378,0,0,1,0,1,0,0,0,0,0,11,3
379,0,0,0,0,2,0,0,0,0,0,11,3
380,1,2,0,0,0,0,0,0,0,0,11,3
381,0,0,1,0,0,0,1,0,0,0,11,3
382,1,2,2,0,0,0,0,0,1,1,12,3
383,0,1,0,0,0,0,0,0,0,0,12,3
384,0,1,0,0,0,0,1,0,1,0,12,3
385,0,0,0,0,0,0,2,0,0,0,12,3
386,0,1,0,0,0,0,0,0,0,0,12,3
387,1,1,0,0,0,0,0,0,0,0,12,3
388,1,1,1,0,0,0,0,0,1,0,12,3
389,0,2,0,0,0,0,0,0,0,0,12,3
390,1,1,0,0,0,0,0,0,0,0,12,3
391,0,1,0,0,0,0,1,0,1,0,13,3
392,1,0,1,0,1,0,1,0,0,0,13,3
393,0,0,1,0,0,0,1,0,0,0,13,3
394,1,1,0,0,0,0,0,0,1,0,13,3
395,1,0,0,0,0,0,0,0,0,0,13,3
396,1,0,0,0,0,0,0,0,0,0,13,3
397,0,2,0,0,1,0,0,0,0,0,13,3
398,0,1,0,0,0,0,0,0,0,0,14,3
399,0,1,0,0,0,0,1,0,0,0,14,3
400,0,1,0,0,0,0,0,0,1,0,14,3
401,0,0,2,0,0,0,1,0,0,0,14,3
402,0,2,0,0,0,0,1,0,0,0,14,3
403,0,0,0,0,1,0,2,0,0,0,14,3
404,0,0,0,0,1,1,1,0,0,0,14,3
405,0,0,0,0,0,1,1,0,0,0,14,3
406,0,0,1,0,0,0,1,0,0,0,14,3
407,0,1,0,0,0,0,1,0,0,0,14,3
408,0,0,1,0,0,0,0,0,0,0,15,3
409,0,0,0,0,0,0,0,0,1,0,15,3
410,0,1,1,0,1,0,1,0,0,0,15,3
411,0,1,0,0,0,0,0,0,0,0,15,3
412,0,0,1,0,0,0,1,0,0,0,15,3
413,0,2,0,0,0,0,0,0,0,0,15,3
414,0,0,1,0,0,0,0,0,0,0,15,3
415,0,0,0,0,0,1,0,0,0,0,15,3
416,1,0,0,0,0,0,0,0,0,0,15,3
417,0,0,0,0,0,0,1,0,0,0,15,3
418,0,1,0,0,0,0,0,0,0,0,15,3
419,0,2,0,0,0,0,2,1,0,0,15,3
420,0,0,0,0,0,0,1,0,0,0,15,3
421,0,1,1,0,0,0,3,0,0,0,16,3
422,0,0,0,0,0,0,2,0,0,0,16,3
423,0,0,0,0,0,0,0,0,0,1,16,3
424,0,1,0,0,0,0,0,0,0,0,16,3
425,1,0,0,0,0,0,0,0,0,0,16,3
426,0,1,0,0,0,0,0,0,0,0,17,3
427,0,1,0,0,0,0,0,0,0,0,17,3
428,1,0,1,0,0,0,0,0,0,0,17,3
429,0,0,0,0,0,1,0,0,0,0,17,3
430,0,1,0,0,0,0,1,2,0,0,17,3
431,0,0,1,0,0,0,0,0,0,0,17,3
432,0,1,0,0,0,0,0,0,0,0,18,3
433,0,1,0,0,0,0,0,0,0,0,18,3
435,0,1,0,0,0,0,0,0,0,0,18,3
436,0,1,0,0,0,0,0,0,0,0,19,3
437,0,0,0,0,1,0,0,0,0,0,7,4
438,0,1,1,0,0,1,0,0,0,0,8,4
439,1,0,0,0,0,0,0,0,0,0,8,4
440,0,0,1,0,0,0,0,0,0,0,8,4
441,1,1,0,0,0,0,0,0,0,0,8,4
442,0,1,0,0,1,0,0,0,0,0,8,4
443,0,0,1,0,0,0,0,0,0,0,9,4
444,0,0,0,0,3,0,0,0,0,0,9,4
445,0,2,0,0,0,1,0,0,0,0,9,4
446,0,1,1,0,0,0,0,0,0,0,9,4
447,0,2,0,0,0,0,0,0,0,0,9,4
448,0,0,1,0,0,0,0,0,0,0,9,4
449,0,1,0,0,0,0,0,0,0,0,9,4
450,0,0,1,0,1,0,0,0,0,0,9,4
451,0,0,1,0,0,1,0,0,0,0,9,4
452,0,0,1,0,0,1,0,0,0,0,9,4
453,0,1,1,0,0,0,0,0,0,0,9,4
454,1,0,1,0,0,0,0,0,0,0,9,4
455,0,2,1,0,0,0,0,0,0,0,9,4
456,0,1,0,0,1,0,0,0,0,0,9,4
457,0,2,0,0,0,0,0,0,0,0,9,4
458,0,0,1,0,0,0,0,0,0,0,9,4
459,0,0,0,0,1,0,1,0,0,0,9,4
460,1,0,0,0,0,0,0,0,0,0,10,4
461,0,1,0,0,0,0,0,0,0,0,10,4
462,0,2,0,0,0,1,1,0,0,0,10,4
463,0,1,0,0,0,0,0,0,0,0,10,4
464,0,0,1,0,0,0,0,0,0,0,10,4
465,0,0,0,0,0,0,1,0,0,0,10,4
466,0,1,1,0,0,0,0,0,0,0,10,4
467,0,0,1,0,0,0,0,0,0,0,10,4
468,0,1,0,0,0,0,0,0,0,0,10,4
469,0,2,0,0,0,0,0,0,0,0,10,4
470,0,1,0,0,0,0,0,0,0,0,10,4
471,0,2,0,0,0,0,0,0,0,0,10,4
473,0,1,1,0,0,0,0,0,0,0,11,4
474,0,0,2,0,0,0,0,0,0,0,11,4
475,1,0,1,0,0,0,0,0,0,0,11,4
476,1,1,0,0,0,0,1,0,0,0,11,4
477,0,1,0,0,0,0,0,0,0,0,11,4
478,0,1,0,0,0,0,1,0,0,0,11,4
479,1,3,0,0,0,0,1,0,0,0,11,4
480,0,1,0,0,0,0,1,0,0,0,11,4
481,0,1,0,0,0,0,1,0,0,0,11,4
482,0,3,1,0,2,1,1,0,0,0,11,4
483,0,0,1,0,0,0,0,0,0,0,12,4
484,0,0,0,0,0,0,2,0,0,0,12,4
485,0,1,0,0,0,0,0,0,0,1,12,4
486,0,0,1,0,1,0,0,0,0,0,12,4
487,0,2,1,0,0,0,0,0,1,0,12,4
488,0,2,0,0,0,0,0,0,1,1,12,4
489,2,0,2,0,1,0,0,0,0,0,12,4
490,2,2,0,0,0,0,0,0,0,0,12,4
491,1,2,1,0,0,0,0,0,0,0,13,4
492,0,1,0,0,0,0,2,0,1,0,13,4
493,0,1,0,0,0,0,1,0,0,0,13,4
494,0,1,0,0,0,0,2,0,0,0,13,4
495,0,1,0,0,0,0,0,0,0,1,13,4
497,0,2,0,0,0,0,0,0,0,0,14,4
498,0,2,0,0,0,1,0,0,1,0,14,4
499,0,1,0,0,0,0,1,0,0,0,14,4
500,0,1,1,0,0,0,0,0,0,0,14,4
501,0,1,1,0,0,0,0,0,0,0,14,4
502,0,2,0,0,0,0,0,0,0,0,14,4
503,1,3,0,0,0,0,1,0,0,0,14,4
504,0,1,0,0,0,0,1,0,0,0,15,4
505,0,0,0,0,1,0,0,0,0,0,15,4
506,0,2,0,0,0,0,1,0,0,0,15,4
507,0,2,0,0,0,0,2,0,0,0,15,4
508,0,1,0,0,0,0,0,0,1,0,15,4
509,0,0,1,0,0,0,0,0,1,0,15,4
510,0,0,1,0,0,0,0,0,1,0,15,4
511,0,0,1,0,0,0,0,0,0,0,15,4
512,0,1,0,0,0,0,2,0,0,0,15,4
513,0,1,1,0,0,0,1,0,0,0,15,4
514,0,0,0,0,0,0,1,0,0,0,15,4
515,0,0,1,0,0,1,1,0,0,0,15,4
516,0,1,0,0,0,0,0,0,0,0,16,4
517,0,2,0,0,0,0,1,0,0,0,16,4
518,0,0,1,0,1,0,1,0,0,0,16,4
519,0,2,0,0,0,0,2,0,0,0,17,4
520,0,0,0,0,0,0,1,0,0,0,17,4
521,0,0,0,0,0,0,1,0,0,0,18,4
522,0,1,0,0,0,0,1,0,0,0,19,4
523,0,0,0,0,0,1,1,0,0,0,20,4
524,0,1,2,1,1,0,1,0,0,0,8,5
525,0,0,1,0,0,0,1,0,0,0,8,5
526,1,2,0,0,2,0,0,0,0,0,8,5
527,0,0,1,0,0,0,0,0,0,0,8,5
528,0,0,1,0,1,0,0,0,0,0,8,5
529,0,1,1,0,1,1,0,0,0,0,8,5
530,0,1,0,0,0,1,1,0,0,0,8,5
531,0,1,1,0,0,1,0,0,0,0,8,5
532,0,0,1,0,0,0,0,0,0,0,8,5
533,0,1,0,0,0,0,1,0,0,0,9,5
534,0,2,1,0,0,0,0,0,0,0,9,5
535,0,0,1,0,0,0,0,0,0,0,9,5
536,0,0,1,0,0,0,0,0,0,0,9,5
537,1,2,0,0,0,1,1,0,0,0,9,5
538,0,1,0,0,0,0,0,0,0,0,9,5
539,0,1,0,0,0,0,1,0,0,0,9,5
540,0,0,1,0,0,0,0,0,0,0,9,5
541,0,0,2,0,1,0,0,0,0,0,9,5
542,0,2,0,0,0,0,1,0,0,0,9,5
